ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
1,Electrical current is measured in which of the following units?,Volts,Watts,Ohms,Amperes,Amperes
2,Electrical power is measured in which of the following units?,Volts,Watts,Ohms,Amperes,Watts
3,What is the name for the flow of electrons in an electric circuit?,Voltage,Resistance,Capacitance,Current,Current
4,What is the name for a current that flows only in one direction?,Alternating current,Direct current,Normal current,Smooth current,Direct current
5,What is the electrical term for the electromotive force (EMF) that causes electron flow?,Voltage,Ampere-hours,Capacitance,Inductance,Voltage
6,How much voltage does a mobile transceiver usually require?,About 12 volts,About 30 volts,About 120 volts,About 240 volts,About 12 volts
7,Which of the following is a good electrical conductor?,Glass,Wood,Copper,Rubber,Copper
8,Which of the following is a good electrical insulator?,Copper,Glass,Aluminum,Mercury,Glass
9,What is the name for a current that reverses direction on a regular basis?,Alternating current,Direct current,Circular current,Vertical current,Alternating current
10,Which term describes the rate at which electrical energy is used?,Resistance,Current,Power,Voltage,Power
11,What is the basic unit of electromotive force?,The volt,The watt,The ampere,The ohm,The volt
12,What term describes the number of times per second that an alternating current reverses direction?,Pulse rate,Speed,Wavelength,Frequency,Frequency
13,How many milliamperes is 1.5 amperes?,15 milliamperes,150 milliamperes,"1,500 milliamperes","15,000 milliamperes","1,500 milliamperes"
14,"What is another way to specify a radio signal frequency of 1,500,000 hertz?",1500 kHz,1500 MHz,15 GHz,150 kHz,1500 kHz
15,How many volts are equal to one kilovolt?,One one-thousandth of a volt,One hundred volts,One thousand volts,One million volts,One thousand volts
16,How many volts are equal to one microvolt?,One one-millionth of a volt,One million volts,One thousand kilovolts,One one-thousandth of a volt,One one-millionth of a volt
17,Which of the following is equivalent to 500 milliwatts?,0.02 watts,0.5 watts,5 watts,50 watts,0.5 watts
18,"If an ammeter calibrated in amperes is used to measure a 3000-milliampere current, what reading would it show?",0.003 amperes,0.3 amperes,3 amperes,"3,000,000 amperes",3 amperes
19,"If a frequency readout calibrated in megahertz shows a reading of 3.525 MHz, what would it show if it were calibrated in kilohertz?",0.003525 kHz,35.25 kHz,3525 kHz,"3,525,000 kHz",3525 kHz
20,"How many microfarads are 1,000,000 picofarads?",0.001 microfarads,1 microfarad,1000 microfarads,"1,000,000,000 microfarads",1 microfarad
21,"What is the approximate amount of change, measured in decibels (dB), of a power increase from 5 watts to 10 watts?",2 dB,3 dB,5 dB,10 dB,3 dB
22,"What is the approximate amount of change, measured in decibels (dB), of a power decrease from 12 watts to 3 watts?",-1 dB,-3 dB,-6 dB,-9 dB,-6 dB
23,"What is the approximate amount of change, measured in decibels (dB), of a power increase from 20 watts to 200 watts?",10 dB,12 dB,18 dB,28 dB,10 dB
24,"Which of the following frequencies is equal to 28,400 kHz?",28.400 MHz,2.800 MHz,284.00 MHz,28.400 kHz,28.400 kHz
25,"If a frequency readout shows a reading of 2425 MHz, what frequency is that in GHz?",0.002425 GHZ,24.25 GHz,2.425 GHz,2425 GHz,2.425 GHz
26,What is the ability to store energy in an electric field called?,Inductance,Resistance,Tolerance,Capacitance,Capacitance
27,What is the basic unit of capacitance?,The farad,The ohm,The volt,The henry,The farad
28,What is the ability to store energy in a magnetic field called?,Admittance,Capacitance,Resistance,Inductance,Inductance
29,What is the basic unit of inductance?,The coulomb,The farad,The henry,The ohm,The henry
30,What is the unit of frequency?,Hertz,Henry,Farad,Tesla,Hertz
31,What does the abbreviation 'RF' refer to?,Radio frequency signals of all types,The resonant frequency of a tuned circuit,The real frequency transmitted as opposed to the apparent frequency,Reflective force in antenna transmission lines,Radio frequency signals of all types
32,What is a usual name for electromagnetic waves that travel through space?,Gravity waves,Sound waves,Radio waves,Pressure waves,Radio waves
33,What is the formula used to calculate electrical power in a DC circuit?,Power (P) equals voltage (E) multiplied by current (I),Power (P) equals voltage (E) divided by current (I),Power (P) equals voltage (E) minus current (I),Power (P) equals voltage (E) plus current (I),Power (P) equals voltage (E) multiplied by current (I)
34,How much power is being used in a circuit when the applied voltage is 13.8 volts DC and the current is 10 amperes?,138 watts,0.7 watts,23.8 watts,3.8 watts,138 watts
35,How much power is being used in a circuit when the applied voltage is 12 volts DC and the current is 2.5 amperes?,4.8 watts,30 watts,14.5 watts,0.208 watts,30 watts
36,How many amperes are flowing in a circuit when the applied voltage is 12 volts DC and the load is 120 watts?,0.1 amperes,10 amperes,12 amperes,132 amperes,10 amperes
37,What is meant by the term impedance?,It is a measure of the opposition to AC current flow in a circuit,It is the inverse of resistance,It is a measure of the Q or Quality Factor of a component,It is a measure of the power handling capability of a component,It is a measure of the opposition to AC current flow in a circuit
38,What are the units of impedance?,Volts,Amperes,Coulombs,Ohms,Ohms
39,What formula is used to calculate current in a circuit?,Current (I) equals voltage (E) multiplied by resistance (R),Current (I) equals voltage (E) divided by resistance (R),Current (I) equals voltage (E) added to resistance (R),Current (I) equals voltage (E) minus resistance (R),Current (I) equals voltage (E) divided by resistance (R)
40,What formula is used to calculate voltage in a circuit?,Voltage (E) equals current (I) multiplied by resistance (R),Voltage (E) equals current (I) divided by resistance (R),Voltage (E) equals current (I) added to resistance (R),Voltage (E) equals current (I) minus resistance (R),Voltage (E) equals current (I) multiplied by resistance (R)
41,What formula is used to calculate resistance in a circuit?,Resistance (R) equals voltage (E) multiplied by current (I),Resistance (R) equals voltage (E) divided by current (I),Resistance (R) equals voltage (E) added to current (I),Resistance (R) equals voltage (E) minus current (I),Resistance (R) equals voltage (E) divided by current (I)
42,What is the resistance of a circuit in which a current of 3 amperes flows through a resistor connected to 90 volts?,3 ohms,30 ohms,93 ohms,270 ohms,30 ohms
43,What is the resistance in a circuit for which the applied voltage is 12 volts and the current flow is 1.5 amperes?,18 ohms,0.125 ohms,8 ohms,13.5 ohms,8 ohms
44,What is the resistance of a circuit that draws 4 amperes from a 12-volt source?,3 ohms,16 ohms,48 ohms,8 Ohms,3 ohms
45,What is the current flow in a circuit with an applied voltage of 120 volts and a resistance of 80 ohms?,9600 amperes,200 amperes,0.667 amperes,1.5 amperes,1.5 amperes
46,What is the current flowing through a 100-ohm resistor connected across 200 volts?,"20,000 amperes",0.5 amperes,2 amperes,100 amperes,2 amperes
47,What is the current flowing through a 24-ohm resistor connected across 240 volts?,"24,000 amperes",0.1 amperes,10 amperes,216 amperes,10 amperes
48,What is the voltage across a 2-ohm resistor if a current of 0.5 amperes flows through it?,1 volt,0.25 volts,2.5 volts,1.5 volts,1 volt
49,What is the voltage across a 10-ohm resistor if a current of 1 ampere flows through it?,1 volt,10 volts,11 volts,9 volts,10 volts
50,What is the voltage across a 10-ohm resistor if a current of 2 amperes flows through it?,8 volts,0.2 volts,12 volts,20 volts,20 volts
51,What is impedance?,The electric charge stored by a capacitor,The inverse of resistance,The opposition to the flow of current in an AC circuit,The force of repulsion between two similar electric fields,The opposition to the flow of current in an AC circuit
52,What is reactance?,Opposition to the flow of direct current caused by resistance,Opposition to the flow of alternating current caused by capacitance or inductance,A property of ideal resistors in AC circuits,A large spark produced at switch contacts when an inductor is de-energized,Opposition to the flow of alternating current caused by capacitance or inductance
53,Which of the following causes opposition to the flow of alternating current in an inductor?,Conductance,Reluctance,Admittance,Reactance,Reactance
54,Which of the following causes opposition to the flow of alternating current in a capacitor?,Conductance,Reluctance,Reactance,Admittance,Reactance
55,How does an inductor react to AC?,"As the frequency of the applied AC increases, the reactance decreases","As the amplitude of the applied AC increases, the reactance increases","As the amplitude of the applied AC increases, the reactance decreases","As the frequency of the applied AC increases, the reactance increases","As the frequency of the applied AC increases, the reactance increases"
56,How does a capacitor react to AC?,"As the frequency of the applied AC increases, the reactance decreases","As the frequency of the applied AC increases, the reactance increases","As the amplitude of the applied AC increases, the reactance increases","As the amplitude of the applied AC increases, the reactance decreases","As the frequency of the applied AC increases, the reactance decreases"
57,"What happens when the impedance of an electrical load is equal to the output impedance of a power source, assuming both impedances are resistive?",The source delivers minimum power to the load,The electrical load is shorted,No current can flow through the circuit,The source can deliver maximum power to the load,The source can deliver maximum power to the load
58,Why is impedance matching important?,So the source can deliver maximum power to the load,So the load will draw minimum power from the source,To ensure that there is less resistance than reactance in the circuit,To ensure that the resistance and reactance in the circuit are equal,So the source can deliver maximum power to the load
59,What unit is used to measure reactance?,Farad,Ohm,Ampere,Siemens,Ohm
60,What unit is used to measure impedance?,Volt,Ohm,Ampere,Watt,Ohm
61,Which of the following describes one method of impedance matching between two AC circuits?,Insert an LC network between the two circuits,Reduce the power output of the first circuit,Increase the power output of the first circuit,Insert a circulator between the two circuits,Insert an LC network between the two circuits
62,What is one reason to use an impedance matching transformer?,To minimize transmitter power output,To maximize the transfer of power,To reduce power supply ripple,To minimize radiation resistance,To maximize the transfer of power
63,Which of the following devices can be used for impedance matching at radio frequencies?,A transformer,A Pi-network,A length of transmission line,All of these choices are correct,All of these choices are correct
64,What dB change represents a two-times increase or decrease in power?,Approximately 2 dB,Approximately 3 dB,Approximately 6 dB,Approximately 12 dB,Approximately 3 dB
65,How does the total current relate to the individual currents in each branch of a purely resistive parallel circuit?,It equals the average of each branch current,It decreases as more parallel branches are added to the circuit,It equals the sum of the currents through each branch,It is the sum of the reciprocal of each individual voltage drop,It equals the sum of the currents through each branch
66,How many watts of electrical power are used if 400 VDC is supplied to an 800 ohm load?,0.5 watts,200 watts,400 watts,3200 watts,200 watts
67,How many watts of electrical power are used by a 12 VDC light bulb that draws 0.2 amperes?,2.4 watts,24 watts,6 watts,60 watts,2.4 watts
68,How many watts are dissipated when a current of 7.0 milliamperes flows through 1.25 kilohms resistance?,Approximately 61 milliwatts,Approximately 61 watts,Approximately 11 milliwatts,Approximately 11 watts,Approximately 61 milliwatts
69,What is the output PEP from a transmitter if an oscilloscope measures 200 volts peak-to-peak across a 50 ohm dummy load connected to the transmitter output?,1.4 watts,100 watts,353.5 watts,400 watts,100 watts
70,What value of an AC signal produces the same power dissipation in a resistor as a DC voltage of the same value?,The peak-to-peak value,The peak value,The RMS value,The reciprocal of the RMS value,The RMS value
71,What is the peak-to-peak voltage of a sine wave that has an RMS voltage of 120 volts?,84.8 volts,169.7 volts,240.0 volts,339.4 volts,339.4 volts
72,What is the RMS voltage of a sine wave with a value of 17 volts peak?,8.5 volts,12 volts,24 volts,34 volts,12 volts
73,What percentage of power loss would result from a transmission line loss of 1 dB?,10.9 percent,12.2 percent,20.5 percent,25.9 percent,20.5 percent
74,What is the ratio of peak envelope power to average power for an unmodulated carrier?,0.707,1.00,1.414,2.00,1.00
